symbol,time,opn,high,low,close,volume,volsig,pallsig,pahhsig,daylowsig,dayhighsig,supersig,cci34,SuperTrend,msg
GRASIM,12:29:00,1254.4,1254.4,1254.4,1254.4,140,0,0,0,0,0,0,-14.0,up,SuperTrend UP Started12:06:00
CONCOR,12:29:00,1399.075,1399.075,1399.075,1399.075,144,0,0,0,0,0,0,96.0,up,Highest Volume found 12:28:00
ARVIND,12:29:00,413.225,413.225,413.225,413.225,161,0,0,0,0,0,0,-30.0,down,Highest Volume found 12:28:00
RAMCOCEM,12:28:00,741.65,741.65,741.65,741.65,97,0,0,0,0,0,0,97.0,up,Highest Volume found 12:26:00
BHARATFORG,12:29:00,1191.26923077,1191.26923077,1191.26923077,1191.26923077,558,0,0,0,0,0,0,-145.0,down,SuperTrend DOWN Started12:06:00
JETAIRWAYS,12:29:00,580.15,580.15,580.15,580.15,539,0,0,0,0,0,0,-44.0,up,SuperTrend UP Started12:25:00
RECLTD,12:29:00,164.234210526,164.234210526,164.234210526,164.234210526,2646,0,0,0,0,0,0,-86.0,down,SuperTrend DOWN Started12:25:00
VEDL,12:29:00,332.376,332.376,332.376,332.376,20675,0,0,0,0,0,0,-90.0,down,Highest Volume found 12:21:00
ASIANPAINT,12:29:00,1253.87647059,1253.87647059,1253.87647059,1253.87647059,1076,0,0,0,0,0,0,64.0,down,SuperTrend UP Started12:18:00
REPCOHOME,12:30:00,671.016666667,671.016666667,671.016666667,671.016666667,247,0,1,0,1,0,0,-177.0,down,near days LOW watch out12:30:00
CENTURYTEX,12:30:00,1320.9875,1320.9875,1320.9875,1320.9875,2374,0,0,0,0,0,0,35.0,up,Highest Volume found 11:54:00
